KAKAOLU MUZLU KURABİYE,3 küçük olgun muz,2 su bardağı yulaf,1tatlı kaşığı bal,1yemek kaşığı hindistan cevizi yağı,Kabartma tozu,Kakao,1 yumurta, , , ,Tüm malzemeleri blenderda kıvam alana kadar çekin.Harcı kalıba alın ve önceden ısıtılmış 180 derece fırında 15 dakika yağlı kağıt serilmiş fırın tepsisinde tatlı kaşığı ile şekil vererek pişirin.Afiyet olsun!
KAKAOLU CHEESECAKE,Yarım muz,1 su bardağı yulaf unu ,1 tatlı kaşığı tahin,3 yemek kaşığı labne ,1 tatlı kaşığı bal,2 tatlı kaşığı kakao,,,,,Alt tabanı için muz  tahin ve yulafı rondoda çekin.Kek harcından biraz daha sert bir kıvamı olmalı ama hafif yapış yapış olabilir.Taban harcından 1 tatlı kaşığı kalıba ekleyin.Üzeri için labne muz  bal ve kakaoyu rondoda çekin.Kalıpların üzerine paylaştırın.Afiyet olsun!
KABAKLI FİT BROWNİ,1 tane kabak,1 yumurta,Yarım çay bardağı hurma ,1 yemek kaşığı şekersiz fıstık ezmesi,2 yemek kaşığı kakao,Yarım paket kabartma tozu, Yarım paket vanilin,1 çay bardağı tam buğday unu,,,Kabakları rendeleyin ve diğer malzemelerle karıştırın.Kabakların suyunun iyice süzülmüş olmasına dikkat edin.Önceden ısıtılmış 180 derece fırında 20-25 dakika pişirin.Afiyet olsun!
HAVUÇLU TARÇINLI KEK ,2 yumurta,5/2 dolu yemek kaşığı keçiboynuzu özü,Yarım çay bardağı zeytinyağı,1 su bardağı süt,1 tane rendelenmiş havuç,2 su bardağı tam buğday unu,1 paket kabartma tozu,Tarçın,,,Önce yumurta ve keçiboynuzu özünü çırpıp ardından süt ve yağı ekleyip çırpmaya devam edin.Diğer malzemeleri de ekledikten sonra yağladığınız kabınıza harcınızı döküp 200 derecede kontrollü pişirin.Afiyet olsun!
FRAMBUAZLI KEK,1 yumurta,1/2 çay bardağı tahin,1/2 çay bardağı pekmez,1 çay kaşığı kabartma tozu,1 yemek kaşığı kakao,2 yemek kaşığı tam buğday unu,Frambuaz,,,,Robotta çekilmiş frambuazı ve diğer malzemeleri karıştırıp üzerine bitter çikolata ekliyoruz.Kek kalıbınız küçük boy olsun. 180 derece fırında 15 dakika pişirin.
FİT BROWNİ İNTENSE,6 adet hurma,2 yemek kaşığı tahin,2 yemek kaşığı kakao,80 gram bitter çikolata,,,,,,,Hurmayı sıcak suda 10-15 dakika bekletiyoruz. Çekirdeklerini çıkartıp robota alıyoruz pürüzsüz olana dek çekiyoruz. Tahin ve kakaoyu ilave edip tekrar çekiyoruz. Hamura şekil verip 5-10 dakika buzdolabında dinlendirin.Diğer taraftan çikolatayı benmari usulü eritin.Hamuru çikolatayla kaplayın.Çikolata donana kadar bekleyin.Afiyet olsun!
TAHİNLİ KEK ,2 yumurta, 3 dolu yemek kaşığı pekmez,7/2 yemek kaşığı tahin,Yarım çay bardağı zeytinyağı,1 su bardağı süt,2 su bardağı tam buğday unu,1 paket kabartma tozu,,,,Önce yumurta ve pekmezi çırpın.Ardından yağ ve sütü ekleyip çırpmaya devam edin.Tahini de ekleyip tekrar karıştırın.En son un ve kabartma tozunu da atıp harcınızı hazırlayın.250 derecede kontrollü pişirin.Afiyet olsun!
PORTAKALLI FİT KEK,2 yumurta,1 büyük çay bardağı pekmez,1 küçük çay bardağı portakal suyu,Yarım büyük çay bardağı sıvı yağ,2 su bardağı tam buğday unu,Portakal küpleri,,,,,Yumurta ve pekmezi köpürene kadar çırpın.Ardından portakal suyunu ve yağını ekleyin.Tam buğday ununu ve kabartma tozunu eleyin ve çırpın.180 derecede yaklaşık 45 dakika kadar pişirin.Afiyet olsun!
LİMONLU KEK, 2 adet orta büyüklükte limonun rendelenmiş kabuğu,  1 adet sıkılmış limon suyu, 1 paket kabartma tozu,  1 su bardağı kadar yarım yağlı süt,  Yarım su bardağı kadar sıvı yağ,1 su bardağı kadar toz şeker ,1 adet orta boy yumurta ,,,,Yumurta ve şekeri çırpın. Daha sonra yağ ve sütü ekleyip karıştırın.Hazırladığınız karışıma limon suyu  rendelenmiş limon kabuğu ve kabartma tozunu da ekledikten sonra güzelce karıştırıp kek kalıbına boşaltın.Önceden ısıtılmış 180 derecelik fırında 30 dakika pişirin.Afiyet olsun!
DUTLU KURABİYE,1 su bardağı badem veya fındık unu ,2 yemek kaşığı dut unu,4 yemek kaşığı tahin ,,,,,,,,Dut ununun üstüne bir kasede üstünü geçecek kadar sıcak su ekleyin. Karıştırın. Püre kıvamında oluyor. Sonra 3 malzemeyi yoğurun. Ellerinizi yıkayıp  ıslatıp kurabiyelere şekil verin. Dağılmaya müsait. Islak el hamuru toparlıyor.Ortasına parmağınızı bastırıp bir fındık oturtun. 150 derece fırında 20-25 dakika pişirin.Pişince fırını kapatıp  fırın soğuyana kadar içinde bırakın.Afiyet olsun!
ELMALI KURABİYE,1 adet yumurta ,4-5 kaşık pekmez veya keçiboynuzu özü ,1 yemek kaşığı tereyağı ,3 su bardağı tam buğday unu ,Yarım paket kabartma tozu,1 çay bardağı süt ,2 büyük elma ,1 tatlı kaşığı tarçın,Ceviz parçaları ,,Süt  yumurta ve pekmezi çırpın. Kabartma tozunu  tereyağını ilave edin. Diğer malzemeleri de ekleyip şekil verip fırına atın.180 derece fırında 25-30 dakika pişirin.Afiyet olsun!
HİNDİSTAN CEVİZLİ KURABİYE,5 su bardağı hindistan cevizi rendesi ,2 yumurta beyazı,2 yemek kaşığı bal,1 yemek kaşığı light süt,1 çay kaşığı vanilya,1/4 çay kaşığı tuz,,,,,Yumurta beyazlarını köpük köpük olana kadar çırpın.Diğer malzemeleri de ekleyip spatula yardımıyla alttan üste doğru nazikçe karıştırın.Elle şekil verecek bir kıvamı olmadığı için bir kaşık yardımıyla yağlı kağıda yerleştirin. 180 derecede 15 dakika pişirin.Afiyet olsun!
ISPANAKLI KURABİYE,1 yumurta,1/2 su bardağından biraz fazla doğranmış ıspanak,1/2 çay bardağından biraz az zeytinyağı,2 yemek kaşığı tatlandırıcı (keçiboynuzu Özü/ hurma Özü/ şeker/bal),2 yemek kaşığı nişasta,1/2 paket kabartma tozu,1 paket vanilin,2 su bardağı yulaf unu,,,lspanak  zeytinyağı ve yumurtayı blender ile pürüzsüz olana kadar karıştırın.Kalan malzemeleri de ilave edin ve karıştırmaya devam edin.Kıvam olarak oyun hamuru kıvamında olmalı.Buzdolabında 15-20 dakika bekletin.Yuvarlak şekiller verip 180 derecede 20 dakika pişirin.Afiyet olsun!
KAKAOLU UN KURABİYESİ,1 çay bardağı eritilmiş tereyağı,1/2 çay bardağı pekmez veya bal,2 yemek kaşığı kakao,3/2 su bardağı tam buğday unu ,,,,,,,Tereyağ  kakao ve pekmezi kabınıza alın ve daha sonra unu yavaş yavaş ekleyin.Toparlanmada zorluk çekerseniz elinizi zeytinyağı veya sıvı yağ ile yağlayıp kolayca hamurunuzu toparlayabilirsiniz.Hamurunuzu elde ettikten sonra 20 dakika buzdolabında dinlenmeye bırakın.Daha sonra ister top şeklinde şekil verebilirsiniz ister keserek şekil verebilirsiniz üzerine çatalla bastırdıktan sonra önceden ısıtılmış 160 derece fırında yaklaşık 15 dakika kadar pişirin.Afiyet olsun!
KANDİL SİMİDİ,1 yumurta,1 çorba kaşığı yoğurt,1 tatlı kaşığı mahlep,1 çay kaşığı tuz,1 çay bardağı fındık yağı,1 çay kaşığı karbonat,1 çorba kaşığı sirke,3/2 su bardağı tam buğday unu,,,Un hariç diğer malzemeleri bir kaba alıp karıştırın.Unu yavaş yavaş ilave edin.Eğer un eksik gelirse bir iki kaşık ilave edebilirsiniz. Cevizden biraz büyük parçalar kopartın çubuk şeklinde yuvarlayıp iki ucunu birleştirerek simit şekli verin.Üzerlerine yumurta sarısı sürün ve çörek otu  susam serpin.Önceden ısıtılmış 180 derece fırında 25 - 30 dakika pişirin.Afiyet olsun!
TAHİNLİ FİT KURABİYE,2 yumurta sarısı,Yarım küçük çay bardağı tahin,3 yemek kaşığı bal ,4 yemek kaşığı tereyağı ,2 su bardağı tam buğday unu,1 su bardağı kıyılmış fındık ,1 paket şekerli vanilin, Yarım paket hamur kabartma tozu,,,Bütün malzemeleri bir kapta karıştırıp şekil verin. Üzeri kızarıncaya kadar 160 derecede pişirin.Afiyet olsun!
TUZLU KURABİYE,2 yumurta sarısı ,3 yemek kaşığı yoğurt,1 yemek kaşığı tereyağı ,Yarım türk kahvesi fincanı zeytinyağı,1 yemek kaşığı sirke,1 çay kaşığı mahlep , 1 tutam tuz,1 paket kabartma tozu,2 su bardağı tam buğday unu,,Tüm malzemeleri kaşık ile karıştırın ve sonrasında biraz yoğurun.İstediğiniz şekili verin .Yağlı kağıt serilmiş fırın tepsinize dizin.Üzerine yumurta sarısını sürün ve çörek otu serpiştirin.180 derecelik fırında üzeri kızarana kadar pişirin.
YULAFLI KURABİYE ,1 adet büyük boy havuç,1 adet orta boy elma,4 yemek kaşığı tereyağı, 1 su bardağı yulaf,1 çay bardağı hindistan cevizi, 3 yemek kaşığı bal,10 adet ceviz içi, 1 adet yumurta,,,Havuç ve elmaları rendeleyip diğer malzemlerle karıştırıp yoğurun.Hamurunuzu istediğiniz biçimde şekillendirin.180 derecelik fırında 35 dakika pişirin.Afiyet olsun!
ÇİLEKLİ TURTA,2 yemek kaşığı oda ısısında tereyağı,3 yemek kaşığı pekmez,2 su bardağı yulaf ezmesi ,15-20 adet çilek,1 yemek kaşığı bal ,,,,,,Önce çilekleri yıkayıp doğrayarak suyunu çekene kadar ocakta pişirin.Pişen çilekler soğuyunca içine bal ekleyin.Diğer yandan hamur için  un tereyağı ve pekmezi karıştırıp yoğurun.Yoğurduğunuz hamurdan bir parça alıp dondurucuda 5-10 dakika soğutun.Diğer hamuru tart kalıplarına elinizle bastırarak yayın. Daha sonra hamurların içine çilekli karışımı doldurun.Çileklerin üzerine de dondurucuda beklettiğiniz hamuru ufak kırıntılar şeklinde dağıtın. Son olarak 170 derecede ısıttığınız fırında kızarana kadar pişirin.Afiyet olsun! 
ELMALI TOPLAR ,2 adet elma ,1 tatlı kaşığı tarçın,2-3 kaşık yulaf unu ,İsteğe bağlı antep fıstığı,,,,,,,Rendelenmiş elmaları  tarçın ve yulafla karıştırın.Karışımdan parçalar alıp elinizle yuvarlayın.İsterseniz antep fıstığına bulayabilirsiniz.Afiyet olsun!
